Item No.,UPC,ASIN,Company,SalesRank,ListPrice,Fees,Cost,Profit
AQSF1955,840391140646,B087BV43VD,Gamago,148801,15.98,5.62,5.2,5.16
AQSF2107,840391152328,B096T23BPM,Gamago,90888,32.99,10.95,13.5,8.540000000000003
BEE44743,850015544743,B0B1PRBJPS,Beeline Creative,141909,37.98,11.45,21,5.529999999999994
BLFBAS59507,4573102595072,B08C3GD5X8,Bandai Tamashii Nations,20631,30.32,8.63,15,6.689999999999998
BLFBAS63677,4573102636775,B0BGJWXRZM,Ichibansho,83261,51.43,16.08,28,7.350000000000001
BLFBAS64934,4573102649348,B0BV61G1SC,Bandai Tamashii Nations,110307,59.06,13.18,32.5,13.380000000000003
BLFBAS65200,4573102652003,B0BQPZHCRV,Ichibansho,134382,56.51,14.23,30,12.279999999999994
BLFBAS65204,4573102652041,B0BPNBHKTT,Ichibansho,120487,55.89,14.13,32.5,9.259999999999998
BLFBPR88277,4983164882773,B0BXB85VY6,Banpresto,142800,48.99,12.1,23,13.89
HSF5814,5010994168070,B09XRGF5R7,Avalon Hill,1884,23.99,7.68,10.7,5.609999999999999
LFWDBND0001,671803479524,B0C2R6ZKLH,Loungefly,115491,28.48,10.72,12,5.760000000000002
MF19052,787926190526,B09VS397BV,McFarlane Toys,4714,16.21,7.18,3,6.030000000000001
MG69234,077764692345,B08F6Y3PHN,Monogram,101077,28.98,10.23,2.38,16.37
MTHKW09,194735109333,B0B6256CQR,Mattel,131339,37.01,12.41,18.5,6.099999999999998
NC04821,634482048214,B0C4G5L6CW,NECA,85069,45.98,12.09,28.8,5.089999999999996
NMJK417154,192995417151,B07KVTXN7V,Jakks Pacific,803,15.84,9.79,0,6.050000000000001
SBMC111742,810089633996,B09Y2DZHX2,Silver Buffalo,20732,18.99,6.67,7,5.3199999999999985
SP18537,758606534411,B09QMHFR8C,Spoontiques,12187,32.24,9.59,16.5,6.150000000000002
SQ83949,662248839493,B0B4X4DZFT,Square-Enix,149039,203.99,38.25,139.3,26.439999999999998
SUP81335,840049813359,B0C4GSB9VS,Super7,134930,42.8,12.42,8.25,22.129999999999995
SUP81839,840049818392,B0C4ZPCBD3,Super7,29469,35,12.11,16.5,6.390000000000001
UTCBP17188,4983164171884,B08M91X83G,Banpresto,114044,34.8,9.89,8.9,16.009999999999998
UTCBP18665,4983164186659,B07WFLFL1Y,Banpresto,94296,32.5,17.55,9.9,5.049999999999997
UTCBP18954,4983164189544,B09X5W21X5,Banpresto,147393,23,8.64,8.1,6.259999999999998
UTCFR07162,4582655071629,B0CDTSPBZ5,Furyu,118367,40.98,11.9,21,8.079999999999998
UTCGAS17094,4580590170940,B0BFHWWG1D,Good Smile Company,99269,52.94,13.13,33,6.809999999999995
WM1191,714043011915,B00S732WJE,Winning Moves,8677,30.97,10.4,14.6,5.969999999999999
YT51119,810085551119,B0B3BCH2JS,Youtooz,13200,39.92,10.74,22.1,7.079999999999998
